"Condition","Line","EvoTime","Area","Major","Minor","AR","Volume"
"PM",1,"t200",35.452,7.794,5.792,1.346,136.903997731438
"PM",1,"t200",48.758,8.773,7.076,1.24,229.997121209095
"PM",1,"t200",48.309,9.354,6.576,1.422,211.796898903334
"PM",1,"t200",62.769,10.545,7.579,1.391,317.153143648231
"PM",1,"t200",51.698,9.312,7.069,1.317,243.645027811735
"PM",1,"t200",16.871,4.75,4.522,1.051,50.8573056298967
"PM",1,"t200",24.066,6.683,4.585,1.458,73.561192919762
"PM",1,"t200",50.34,9.791,6.546,1.496,219.673502649635
"PM",1,"t200",42.423,8.019,6.736,1.191,190.512287981485
"PM",1,"t200",46.587,8.763,6.769,1.295,210.232794032232
"PM",1,"t200",34.891,7.528,5.901,1.276,137.255407024253
"PM",1,"t200",59.551,10.912,6.948,1.571,275.817996294678
"PM",1,"t200",38.772,7.937,6.22,1.276,160.781387430057
"PM",1,"t200",34.683,7.985,5.53,1.444,127.856792546602
"PM",1,"t200",38.296,8.592,5.675,1.514,144.885399422911
"PM",1,"t200",46.507,9.333,6.345,1.471,196.73568464456
"PM",1,"t200",13.369,4.712,3.613,1.304,32.2062253366963
"PM",1,"t200",29.118,7.569,4.898,1.545,95.076829088889
"PM",1,"t200",26.306,6.196,5.406,1.146,94.8117393959121
"PM",1,"t200",58.241,10.669,6.951,1.535,269.908719272053
"PM",1,"t200",59.112,9.81,7.673,1.279,302.411307638179
"PM",1,"t200",11.477,3.899,3.747,1.041,28.6628416034557
"PM",1,"t200",10.189,3.705,3.501,1.058,23.7777664031769
"PM",1,"t200",16.422,5.131,4.075,1.259,44.6124283144863
"PM",1,"t200",45.812,8.652,6.742,1.283,205.917202490388
"PM",1,"t200",36.179,7.956,5.79,1.374,139.653081884906
"PM",1,"t200",29.695,7.946,4.758,1.67,94.1881048164778
"PM",1,"t200",32.213,8.507,4.821,1.765,103.525972314516
"PM",1,"t200",50.121,8.598,7.422,1.159,247.992166747914
"PM",1,"t200",52.623,10.134,6.612,1.533,231.977151892055
"PM",1,"t200",30.818,7.143,5.493,1.3,112.849196313555
"PM",1,"t200",53.596,9.381,7.274,1.29,259.892862008798
"PM",1,"t200",34.095,7.571,5.733,1.321,130.291400413978
"PM",1,"t200",45.609,9.149,6.347,1.442,192.978642269897
"PM",1,"t200",29,7.425,4.973,1.493,96.146172223596
"PM",1,"t200",43.808,9.624,5.796,1.661,169.282081401919
"PM",1,"t200",54.52,10.103,6.871,1.47,249.740439911858
"PM",1,"t200",14.252,4.57,3.971,1.151,37.7324144897334
"PM",1,"t200",12.99,4.476,3.695,1.212,31.9976133073012
"PM",1,"t200",22.056,5.955,4.716,1.263,69.3470483893631
"PM",1,"t200",40.937,8.64,6.033,1.432,164.656551476814
