"Condition","Line","EvoTime","Replicate","ColonyMorph","Chr","CCN","StrainBackground","StrainBackground_CCN","StrainBackground_dCCN","StrainBackground_dCCN_label"
"PA",4,"t1000","rep1","S","XIII",4,"PA_4_t1000",4,0,NA
"PA",4,"t1000","rep1","S","XIV",7,"PA_4_t1000",8,-1,NA
"PA",4,"t1000","rep1","S","XV",4,"PA_4_t1000",4,0,NA
"PA",4,"t1000","rep1","S","XVI",4,"PA_4_t1000",4,0,NA
"PA",4,"t1000","rep2","D","I",3,"PA_4_t1000",3,0,NA
"PA",4,"t1000","rep2","D","II",6,"PA_4_t1000",6,0,NA
"PA",4,"t1000","rep2","D","III",5,"PA_4_t1000",5,0,NA
"PA",4,"t1000","rep2","D","IV",4,"PA_4_t1000",4,0,NA
"PA",4,"t1000","rep2","D","V",4,"PA_4_t1000",4,0,NA
"PA",4,"t1000","rep2","D","VI",4,"PA_4_t1000",4,0,NA
"PA",4,"t1000","rep2","D","VII",5,"PA_4_t1000",5,0,NA
"PA",4,"t1000","rep2","D","VIII",5,"PA_4_t1000",5,0,NA
"PA",4,"t1000","rep2","D","IX",6,"PA_4_t1000",6,0,NA
"PA",4,"t1000","rep2","D","X",5,"PA_4_t1000",5,0,NA
"PA",4,"t1000","rep2","D","XI",5,"PA_4_t1000",5,0,NA
"PA",4,"t1000","rep2","D","XII",4,"PA_4_t1000",4,0,NA
"PA",4,"t1000","rep2","D","XIII",4,"PA_4_t1000",4,0,NA
"PA",4,"t1000","rep2","D","XIV",8,"PA_4_t1000",8,0,NA
"PA",4,"t1000","rep2","D","XV",4,"PA_4_t1000",4,0,NA
"PA",4,"t1000","rep2","D","XVI",4,"PA_4_t1000",4,0,NA
"PA",4,"t1000","rep2","S","I",3,"PA_4_t1000",3,0,NA
"PA",4,"t1000","rep2","S","II",6,"PA_4_t1000",6,0,NA
"PA",4,"t1000","rep2","S","III",4,"PA_4_t1000",5,-1,NA
"PA",4,"t1000","rep2","S","IV",4,"PA_4_t1000",4,0,NA
"PA",4,"t1000","rep2","S","V",3,"PA_4_t1000",4,-1,NA
"PA",4,"t1000","rep2","S","VI",4,"PA_4_t1000",4,0,NA
"PA",4,"t1000","rep2","S","VII",5,"PA_4_t1000",5,0,NA
"PA",4,"t1000","rep2","S","VIII",4,"PA_4_t1000",5,-1,NA
"PA",4,"t1000","rep2","S","IX",6,"PA_4_t1000",6,0,NA
"PA",4,"t1000","rep2","S","X",4,"PA_4_t1000",5,-1,NA
"PA",4,"t1000","rep2","S","XI",5,"PA_4_t1000",5,0,NA
"PA",4,"t1000","rep2","S","XII",4,"PA_4_t1000",4,0,NA
"PA",4,"t1000","rep2","S","XIII",4,"PA_4_t1000",4,0,NA
"PA",4,"t1000","rep2","S","XIV",6,"PA_4_t1000",8,-2,NA
"PA",4,"t1000","rep2","S","XV",4,"PA_4_t1000",4,0,NA
"PA",4,"t1000","rep2","S","XVI",4,"PA_4_t1000",4,0,NA
"PA",4,"t1000","rep3","D","I",3,"PA_4_t1000",3,0,NA
