"Condition","Line","EvoTime","ColonyMorph","Replicate","Area","Radius","Volume"
"PA",2,"t1000","S","rep1",22461.354,84.5557273948597,2532314.83432459
"PA",2,"t1000","S","rep1",9023.951,53.5948954261327,644850.280234061
"PA",2,"t1000","S","rep1",26433.67,91.7283952171839,3232957.50506749
"PA",2,"t1000","S","rep1",15150.203,69.4439298469731,1402786.17906587
"PA",2,"t1000","S","rep1",14407.484,67.7203410522628,1300906.30691336
"PA",2,"t1000","S","rep1",28255.186,94.8362011035967,3572819.33562071
"PA",2,"t1000","S","rep1",16361.759,72.1672338742217,1574377.1844622
"PA",2,"t1000","S","rep1",19495.707,78.776114884161,2047728.07250659
"PA",2,"t1000","S","rep1",36736.603,108.137060805762,5296784.36321086
"PA",2,"t1000","S","rep1",33704.053,103.577667836085,4654649.60848509
"PA",2,"t1000","S","rep1",23753.925,86.9546385373909,2754018.61629239
"PA",2,"t1000","S","rep1",21001.006,81.7607964100467,2289411.96796289
"PA",2,"t1000","S","rep1",73611.191,153.072433276091,15023792.1636281
"PA",2,"t1000","S","rep1",51040.075,127.461996155961,8674226.45793326
"PA",2,"t1000","S","rep1",27698.016,93.896497913803,3467662.26874731
"PA",2,"t1000","S","rep1",18083.444,75.8692230186322,1829302.46104126
"PA",2,"t1000","S","rep1",14092.835,66.9767773549679,1258523.56279373
"PA",2,"t1000","S","rep1",181.89,7.60903313161204,1845.34271507855
"PA",2,"t1000","S","rep1",29196.52,96.4030132213862,3752843.33810462
"PA",2,"t1000","S","rep1",25479.269,90.0572218949496,3059456.24273881
"PA",2,"t1000","S","rep1",12545.723,63.1935729344636,1057078.74855477
"PA",2,"t1000","S","rep1",9761.443,55.741939420149,725495.685812316
"PA",2,"t1000","S","rep1",33046.53,102.56235763217,4519106.704483
"PA",2,"t1000","S","rep1",8049.689,50.6191227640791,543290.927604876
"PA",2,"t1000","S","rep1",7622.142,49.256503656844,500586.75372798
"PA",2,"t1000","S","rep1",31546.981,100.208362582931,4215028.41392646
"PA",2,"t1000","S","rep1",11250.539,59.842775575639,897684.640642632
"PA",2,"t1000","S","rep1",12948.704,64.2004711545608,1108417.1968546
"PA",2,"t1000","S","rep1",37329.314,109.005915851659,5425488.08091221
"PA",2,"t1000","S","rep1",12695.73,63.5702475323176,1076094.26493796
"PA",2,"t1000","S","rep1",35358.836,106.089900851831,5001620.54063487
"PA",2,"t1000","S","rep1",18612.912,76.9719033171774,1910228.35055351
"PA",2,"t1000","S","rep1",18520.922,76.7814598313868,1896084.57144433
